300|2001-09-01|2001-09-04
301|2001-09-02|2001-09-05
302|2001-09-03|2001-09-06
303|2001-09-04|2001-09-07
304|2001-09-05|2001-09-08
305|2001-09-06|2001-09-09
306|2001-09-07|2001-09-10
307|2001-09-08|2001-09-11
308|2001-09-09|2001-09-12
309|2001-09-10|2001-09-13
310|2001-09-11|2001-09-14
311|2001-09-12|2001-09-15
312|2001-09-13|2001-09-16
313|2001-09-14|2001-09-17
314|2001-09-15|2001-09-18
315|2001-09-16|2001-09-19
316|2001-09-17|2001-09-20
317|2001-09-18|2001-09-21
318|2001-09-19|2001-09-22
319|2001-09-20|2001-09-23
300|2001-09-21|2001-09-24
301|2001-09-22|2001-09-25
302|2001-09-23|2001-09-26
303|2001-09-24|2001-09-27
304|2001-09-25|2001-09-28
305|2001-09-26|2001-09-29
306|2001-09-27|2001-09-30
307|2001-09-28|2001-10-01
308|2001-09-29|2001-10-02
309|2001-09-30|2001-10-03
310|2001-10-01|2001-10-04
311|2001-10-02|2001-10-05
312|2001-10-03|2001-10-06
313|2001-10-04|2001-10-07
314|2001-10-05|2001-10-08
315|2001-10-06|2001-10-09
316|2001-10-07|2001-10-10
317|2001-10-08|2001-10-11
318|2001-10-09|2001-10-12
319|2001-10-10|2001-10-13
300|2001-10-11|2001-10-14
301|2001-10-12|2001-10-15
302|2001-10-13|2001-10-16
303|2001-10-14|2001-10-17
304|2001-10-15|2001-10-18
305|2001-10-16|2001-10-19
306|2001-10-17|2001-10-20
307|2001-10-18|2001-10-21
308|2001-10-19|2001-10-22
309|2001-10-20|2001-10-23
310|2001-10-21|2001-10-24
311|2001-10-22|2001-10-25
312|2001-10-23|2001-10-26
313|2001-10-24|2001-10-27
314|2001-10-25|2001-10-28
315|2001-10-26|2001-10-29
316|2001-10-27|2001-10-30
317|2001-10-28|2001-10-31
318|2001-10-29|2001-11-01
319|2001-10-30|2001-11-02
300|2001-10-31|2001-11-03
301|2001-11-01|2001-11-04
302|2001-11-02|2001-11-05
303|2001-11-03|2001-11-06
304|2001-11-04|2001-11-07
305|2001-11-05|2001-11-08
306|2001-11-06|2001-11-09
307|2001-11-07|2001-11-10
308|2001-11-08|2001-11-11
309|2001-11-09|2001-11-12
310|2001-11-10|2001-11-13
311|2001-11-11|2001-11-14
312|2001-11-12|2001-11-15
313|2001-11-13|2001-11-16
314|2001-11-14|2001-11-17
315|2001-11-15|2001-11-18
316|2001-11-16|2001-11-19
317|2001-11-17|2001-11-20
318|2001-11-18|2001-11-21
319|2001-11-19|2001-11-22
300|2001-11-20|2001-11-23
301|2001-11-21|2001-11-24
302|2001-11-22|2001-11-25
303|2001-11-23|2001-11-26
304|2001-11-24|2001-11-27
305|2001-11-25|2001-11-28
306|2001-11-26|2001-11-29
307|2001-11-27|2001-11-30
308|2001-11-28|2001-12-01
309|2001-11-29|2001-12-02
310|2001-11-30|2001-12-03
311|2001-12-01|2001-12-04
312|2001-12-02|2001-12-05
313|2001-12-03|2001-12-06
314|2001-12-04|2001-12-07
315|2001-12-05|2001-12-08
316|2001-12-06|2001-12-09
317|2001-12-07|2001-12-10
318|2001-12-08|2001-12-11
319|2001-12-09|2001-12-12
