2001-06-01|10
2001-06-02|11
2001-06-03|12
2001-06-04|13
2001-06-05|14
2001-06-06|10
2001-06-07|11
2001-06-08|12
2001-06-09|13
2001-06-10|14
2001-06-11|10
2001-06-12|11
2001-06-13|12
2001-06-14|13
2001-06-15|14
2001-06-16|10
2001-06-17|11
2001-06-18|12
2001-06-19|13
2001-06-20|14
2001-06-21|10
2001-06-22|11
2001-06-23|12
2001-06-24|13
2001-06-25|14
2001-06-26|10
2001-06-27|11
2001-06-28|12
2001-06-29|13
2001-06-30|14
2001-07-01|10
2001-07-02|11
2001-07-03|12
2001-07-04|13
2001-07-05|14
2001-07-06|10
2001-07-07|11
2001-07-08|12
2001-07-09|13
2001-07-10|14
2001-07-11|10
2001-07-12|11
2001-07-13|12
2001-07-14|13
2001-07-15|14
2001-07-16|10
2001-07-17|11
2001-07-18|12
2001-07-19|13
2001-07-20|14
2001-07-21|10
2001-07-22|11
2001-07-23|12
2001-07-24|13
2001-07-25|14
2001-07-26|10
2001-07-27|11
2001-07-28|12
2001-07-29|13
2001-07-30|14
2001-07-31|10
2001-08-01|11
2001-08-02|12
2001-08-03|13
2001-08-04|14
2001-08-05|10
2001-08-06|11
2001-08-07|12
2001-08-08|13
2001-08-09|14
2001-08-10|10
2001-08-11|11
2001-08-12|12
2001-08-13|13
2001-08-14|14
2001-08-15|10
2001-08-16|11
2001-08-17|12
2001-08-18|13
2001-08-19|14
2001-08-20|10
2001-08-21|11
2001-08-22|12
2001-08-23|13
2001-08-24|14
2001-08-25|10
2001-08-26|11
2001-08-27|12
2001-08-28|13
2001-08-29|14
2001-08-30|10
2001-08-31|11
2001-09-01|12
2001-09-02|13
2001-09-03|14
2001-09-04|10
2001-09-05|11
2001-09-06|12
2001-09-07|13
2001-09-08|14
