2001|1|100
2001|2|101
2001|3|102
2001|4|103
2001|5|104
2001|6|105
2001|7|106
2001|8|107
2001|9|108
2001|10|109
2001|11|110
2001|12|111
2001|1|112
2001|2|113
2001|3|114
2001|4|115
2001|5|116
2001|6|117
2001|7|118
2001|8|119
2001|9|120
2001|10|121
2001|11|122
2001|12|123
2001|1|124
2001|2|125
2001|3|126
2001|4|127
2001|5|128
2001|6|129
2001|7|130
2001|8|131
2001|9|132
2001|10|133
2001|11|134
2001|12|135
2001|1|136
2001|2|137
2001|3|138
2001|4|139
2001|5|140
2001|6|141
2001|7|142
2001|8|143
2001|9|144
2001|10|145
2001|11|146
2001|12|147
2001|1|148
2001|2|149
2001|3|100
2001|4|101
2001|5|102
2001|6|103
2001|7|104
2001|8|105
2001|9|106
2001|10|107
2001|11|108
2001|12|109
2001|1|110
2001|2|111
2001|3|112
2001|4|113
2001|5|114
2001|6|115
2001|7|116
2001|8|117
2001|9|118
2001|10|119
2001|11|120
2001|12|121
2001|1|122
2001|2|123
2001|3|124
2001|4|125
2001|5|126
2001|6|127
2001|7|128
2001|8|129
2001|9|130
2001|10|131
2001|11|132
2001|12|133
2001|1|134
2001|2|135
2001|3|136
2001|4|137
2001|5|138
2001|6|139
2001|7|140
2001|8|141
2001|9|142
2001|10|143
2001|11|144
2001|12|145
2001|1|146
2001|2|147
2001|3|148
2001|4|149
