2001|1
2002|2
2001|3
2002|4
2001|5
2002|6
2001|7
2002|8
2001|9
2002|10
2001|11
2002|12
2001|1
2002|2
2001|3
2002|4
2001|5
2002|6
2001|7
2002|8
2001|9
2002|10
2001|11
2002|12
2001|1
2002|2
2001|3
2002|4
2001|5
2002|6
2001|7
2002|8
2001|9
2002|10
2001|11
2002|12
2001|1
2002|2
2001|3
2002|4
2001|5
2002|6
2001|7
2002|8
2001|9
2002|10
2001|11
2002|12
2001|1
2002|2
2001|3
2002|4
2001|5
2002|6
2001|7
2002|8
2001|9
2002|10
2001|11
2002|12
2001|1
2002|2
2001|3
2002|4
2001|5
2002|6
2001|7
2002|8
2001|9
2002|10
2001|11
2002|12
2001|1
2002|2
2001|3
2002|4
2001|5
2002|6
2001|7
2002|8
2001|9
2002|10
2001|11
2002|12
2001|1
2002|2
2001|3
2002|4
2001|5
2002|6
2001|7
2002|8
2001|9
2002|10
2001|11
2002|12
2001|1
2002|2
2001|3
2002|4
