2001-08-01|2001-08-03|20
2001-08-02|2001-08-04|21
2001-08-03|2001-08-05|22
2001-08-04|2001-08-06|23
2001-08-05|2001-08-07|24
2001-08-06|2001-08-08|25
2001-08-07|2001-08-09|26
2001-08-08|2001-08-10|27
2001-08-09|2001-08-11|28
2001-08-10|2001-08-12|29
2001-08-11|2001-08-13|20
2001-08-12|2001-08-14|21
2001-08-13|2001-08-15|22
2001-08-14|2001-08-16|23
2001-08-15|2001-08-17|24
2001-08-16|2001-08-18|25
2001-08-17|2001-08-19|26
2001-08-18|2001-08-20|27
2001-08-19|2001-08-21|28
2001-08-20|2001-08-22|29
2001-08-21|2001-08-23|20
2001-08-22|2001-08-24|21
2001-08-23|2001-08-25|22
2001-08-24|2001-08-26|23
2001-08-25|2001-08-27|24
2001-08-26|2001-08-28|25
2001-08-27|2001-08-29|26
2001-08-28|2001-08-30|27
2001-08-29|2001-08-31|28
2001-08-30|2001-09-01|29
2001-08-31|2001-09-02|20
2001-09-01|2001-09-03|21
2001-09-02|2001-09-04|22
2001-09-03|2001-09-05|23
2001-09-04|2001-09-06|24
2001-09-05|2001-09-07|25
2001-09-06|2001-09-08|26
2001-09-07|2001-09-09|27
2001-09-08|2001-09-10|28
2001-09-09|2001-09-11|29
2001-09-10|2001-09-12|20
2001-09-11|2001-09-13|21
2001-09-12|2001-09-14|22
2001-09-13|2001-09-15|23
2001-09-14|2001-09-16|24
2001-09-15|2001-09-17|25
2001-09-16|2001-09-18|26
2001-09-17|2001-09-19|27
2001-09-18|2001-09-20|28
2001-09-19|2001-09-21|29
2001-09-20|2001-09-22|20
2001-09-21|2001-09-23|21
2001-09-22|2001-09-24|22
2001-09-23|2001-09-25|23
2001-09-24|2001-09-26|24
2001-09-25|2001-09-27|25
2001-09-26|2001-09-28|26
2001-09-27|2001-09-29|27
2001-09-28|2001-09-30|28
2001-09-29|2001-10-01|29
2001-09-30|2001-10-02|20
2001-10-01|2001-10-03|21
2001-10-02|2001-10-04|22
2001-10-03|2001-10-05|23
2001-10-04|2001-10-06|24
2001-10-05|2001-10-07|25
2001-10-06|2001-10-08|26
2001-10-07|2001-10-09|27
2001-10-08|2001-10-10|28
2001-10-09|2001-10-11|29
2001-10-10|2001-10-12|20
2001-10-11|2001-10-13|21
2001-10-12|2001-10-14|22
2001-10-13|2001-10-15|23
2001-10-14|2001-10-16|24
2001-10-15|2001-10-17|25
2001-10-16|2001-10-18|26
2001-10-17|2001-10-19|27
2001-10-18|2001-10-20|28
2001-10-19|2001-10-21|29
2001-10-20|2001-10-22|20
2001-10-21|2001-10-23|21
2001-10-22|2001-10-24|22
2001-10-23|2001-10-25|23
2001-10-24|2001-10-26|24
2001-10-25|2001-10-27|25
2001-10-26|2001-10-28|26
2001-10-27|2001-10-29|27
2001-10-28|2001-10-30|28
2001-10-29|2001-10-31|29
2001-10-30|2001-11-01|20
2001-10-31|2001-11-02|21
2001-11-01|2001-11-03|22
2001-11-02|2001-11-04|23
2001-11-03|2001-11-05|24
2001-11-04|2001-11-06|25
2001-11-05|2001-11-07|26
2001-11-06|2001-11-08|27
2001-11-07|2001-11-09|28
2001-11-08|2001-11-10|29
