500|2001-12-01|2001-12-03|Books|1
501|2001-12-02|2001-12-04|Electronics|2
502|2001-12-03|2001-12-05|Home|3
503|2001-12-04|2001-12-06|Sports|4
504|2001-12-05|2001-12-07|Music|5
505|2001-12-06|2001-12-08|Books|1
506|2001-12-07|2001-12-09|Electronics|2
507|2001-12-08|2001-12-10|Home|3
508|2001-12-09|2001-12-11|Sports|4
509|2001-12-10|2001-12-12|Music|5
510|2001-12-11|2001-12-13|Books|1
511|2001-12-12|2001-12-14|Electronics|2
512|2001-12-13|2001-12-15|Home|3
513|2001-12-14|2001-12-16|Sports|4
514|2001-12-15|2001-12-17|Music|5
515|2001-12-16|2001-12-18|Books|1
516|2001-12-17|2001-12-19|Electronics|2
517|2001-12-18|2001-12-20|Home|3
518|2001-12-19|2001-12-21|Sports|4
519|2001-12-20|2001-12-22|Music|5
520|2001-12-21|2001-12-23|Books|1
521|2001-12-22|2001-12-24|Electronics|2
522|2001-12-23|2001-12-25|Home|3
523|2001-12-24|2001-12-26|Sports|4
524|2001-12-25|2001-12-27|Music|5
525|2001-12-26|2001-12-28|Books|1
526|2001-12-27|2001-12-29|Electronics|2
527|2001-12-28|2001-12-30|Home|3
528|2001-12-29|2001-12-31|Sports|4
529|2001-12-30|2002-01-01|Music|5
500|2001-12-31|2002-01-02|Books|1
501|2002-01-01|2002-01-03|Electronics|2
502|2002-01-02|2002-01-04|Home|3
503|2002-01-03|2002-01-05|Sports|4
504|2002-01-04|2002-01-06|Music|5
505|2002-01-05|2002-01-07|Books|1
506|2002-01-06|2002-01-08|Electronics|2
507|2002-01-07|2002-01-09|Home|3
508|2002-01-08|2002-01-10|Sports|4
509|2002-01-09|2002-01-11|Music|5
510|2002-01-10|2002-01-12|Books|1
511|2002-01-11|2002-01-13|Electronics|2
512|2002-01-12|2002-01-14|Home|3
513|2002-01-13|2002-01-15|Sports|4
514|2002-01-14|2002-01-16|Music|5
515|2002-01-15|2002-01-17|Books|1
516|2002-01-16|2002-01-18|Electronics|2
517|2002-01-17|2002-01-19|Home|3
518|2002-01-18|2002-01-20|Sports|4
519|2002-01-19|2002-01-21|Music|5
520|2002-01-20|2002-01-22|Books|1
521|2002-01-21|2002-01-23|Electronics|2
522|2002-01-22|2002-01-24|Home|3
523|2002-01-23|2002-01-25|Sports|4
524|2002-01-24|2002-01-26|Music|5
525|2002-01-25|2002-01-27|Books|1
526|2002-01-26|2002-01-28|Electronics|2
527|2002-01-27|2002-01-29|Home|3
528|2002-01-28|2002-01-30|Sports|4
529|2002-01-29|2002-01-31|Music|5
500|2002-01-30|2002-02-01|Books|1
501|2002-01-31|2002-02-02|Electronics|2
502|2002-02-01|2002-02-03|Home|3
503|2002-02-02|2002-02-04|Sports|4
504|2002-02-03|2002-02-05|Music|5
505|2002-02-04|2002-02-06|Books|1
506|2002-02-05|2002-02-07|Electronics|2
507|2002-02-06|2002-02-08|Home|3
508|2002-02-07|2002-02-09|Sports|4
509|2002-02-08|2002-02-10|Music|5
510|2002-02-09|2002-02-11|Books|1
511|2002-02-10|2002-02-12|Electronics|2
512|2002-02-11|2002-02-13|Home|3
513|2002-02-12|2002-02-14|Sports|4
514|2002-02-13|2002-02-15|Music|5
515|2002-02-14|2002-02-16|Books|1
516|2002-02-15|2002-02-17|Electronics|2
517|2002-02-16|2002-02-18|Home|3
518|2002-02-17|2002-02-19|Sports|4
519|2002-02-18|2002-02-20|Music|5
520|2002-02-19|2002-02-21|Books|1
521|2002-02-20|2002-02-22|Electronics|2
522|2002-02-21|2002-02-23|Home|3
523|2002-02-22|2002-02-24|Sports|4
524|2002-02-23|2002-02-25|Music|5
525|2002-02-24|2002-02-26|Books|1
526|2002-02-25|2002-02-27|Electronics|2
527|2002-02-26|2002-02-28|Home|3
528|2002-02-27|2002-03-01|Sports|4
529|2002-02-28|2002-03-02|Music|5
500|2002-03-01|2002-03-03|Books|1
501|2002-03-02|2002-03-04|Electronics|2
502|2002-03-03|2002-03-05|Home|3
503|2002-03-04|2002-03-06|Sports|4
504|2002-03-05|2002-03-07|Music|5
505|2002-03-06|2002-03-08|Books|1
506|2002-03-07|2002-03-09|Electronics|2
507|2002-03-08|2002-03-10|Home|3
508|2002-03-09|2002-03-11|Sports|4
509|2002-03-10|2002-03-12|Music|5
