2001|1|2000
2001|2|2001
2001|3|2002
2001|4|2003
2001|5|2004
2001|6|2005
2001|7|2006
2001|8|2007
2001|9|2008
2001|10|2009
2001|11|2010
2001|12|2011
2001|1|2012
2001|2|2013
2001|3|2014
2001|4|2015
2001|5|2016
2001|6|2017
2001|7|2018
2001|8|2019
2001|9|2020
2001|10|2021
2001|11|2022
2001|12|2023
2001|1|2024
2001|2|2025
2001|3|2026
2001|4|2027
2001|5|2028
2001|6|2029
2001|7|2030
2001|8|2031
2001|9|2032
2001|10|2033
2001|11|2034
2001|12|2035
2001|1|2036
2001|2|2037
2001|3|2038
2001|4|2039
2001|5|2040
2001|6|2041
2001|7|2042
2001|8|2043
2001|9|2044
2001|10|2045
2001|11|2046
2001|12|2047
2001|1|2048
2001|2|2049
2001|3|2050
2001|4|2051
2001|5|2052
2001|6|2053
2001|7|2054
2001|8|2055
2001|9|2056
2001|10|2057
2001|11|2058
2001|12|2059
2001|1|2060
2001|2|2061
2001|3|2062
2001|4|2063
2001|5|2064
2001|6|2065
2001|7|2066
2001|8|2067
2001|9|2068
2001|10|2069
2001|11|2070
2001|12|2071
2001|1|2072
2001|2|2073
2001|3|2074
2001|4|2075
2001|5|2076
2001|6|2077
2001|7|2078
2001|8|2079
2001|9|2080
2001|10|2081
2001|11|2082
2001|12|2083
2001|1|2084
2001|2|2085
2001|3|2086
2001|4|2087
2001|5|2088
2001|6|2089
2001|7|2090
2001|8|2091
2001|9|2092
2001|10|2093
2001|11|2094
2001|12|2095
2001|1|2096
2001|2|2097
2001|3|2098
2001|4|2099
