2001|1|1
2001|2|2
2001|3|3
2001|4|4
2001|5|5
2001|6|1
2001|7|2
2001|8|3
2001|9|4
2001|10|5
2001|11|1
2001|12|2
2001|1|3
2001|2|4
2001|3|5
2001|4|1
2001|5|2
2001|6|3
2001|7|4
2001|8|5
2001|9|1
2001|10|2
2001|11|3
2001|12|4
2001|1|5
2001|2|1
2001|3|2
2001|4|3
2001|5|4
2001|6|5
2001|7|1
2001|8|2
2001|9|3
2001|10|4
2001|11|5
2001|12|1
2001|1|2
2001|2|3
2001|3|4
2001|4|5
2001|5|1
2001|6|2
2001|7|3
2001|8|4
2001|9|5
2001|10|1
2001|11|2
2001|12|3
2001|1|4
2001|2|5
2001|3|1
2001|4|2
2001|5|3
2001|6|4
2001|7|5
2001|8|1
2001|9|2
2001|10|3
2001|11|4
2001|12|5
2001|1|1
2001|2|2
2001|3|3
2001|4|4
2001|5|5
2001|6|1
2001|7|2
2001|8|3
2001|9|4
2001|10|5
2001|11|1
2001|12|2
2001|1|3
2001|2|4
2001|3|5
2001|4|1
2001|5|2
2001|6|3
2001|7|4
2001|8|5
2001|9|1
2001|10|2
2001|11|3
2001|12|4
2001|1|5
2001|2|1
2001|3|2
2001|4|3
2001|5|4
2001|6|5
2001|7|1
2001|8|2
2001|9|3
2001|10|4
2001|11|5
2001|12|1
2001|1|2
2001|2|3
2001|3|4
2001|4|5
