1|2001-11-01|2001-11-02|Books|Brand#1
2|2001-11-02|2001-11-03|Electronics|Brand#2
3|2001-11-03|2001-11-04|Home|Brand#3
4|2001-11-04|2001-11-05|Sports|Brand#4
5|2001-11-05|2001-11-06|Music|Brand#5
6|2001-11-06|2001-11-07|Books|Brand#1
7|2001-11-07|2001-11-08|Electronics|Brand#2
8|2001-11-08|2001-11-09|Home|Brand#3
9|2001-11-09|2001-11-10|Sports|Brand#4
10|2001-11-10|2001-11-11|Music|Brand#5
11|2001-11-11|2001-11-12|Books|Brand#1
12|2001-11-12|2001-11-13|Electronics|Brand#2
13|2001-11-13|2001-11-14|Home|Brand#3
14|2001-11-14|2001-11-15|Sports|Brand#4
15|2001-11-15|2001-11-16|Music|Brand#5
16|2001-11-16|2001-11-17|Books|Brand#1
17|2001-11-17|2001-11-18|Electronics|Brand#2
18|2001-11-18|2001-11-19|Home|Brand#3
19|2001-11-19|2001-11-20|Sports|Brand#4
20|2001-11-20|2001-11-21|Music|Brand#5
21|2001-11-21|2001-11-22|Books|Brand#1
22|2001-11-22|2001-11-23|Electronics|Brand#2
23|2001-11-23|2001-11-24|Home|Brand#3
24|2001-11-24|2001-11-25|Sports|Brand#4
25|2001-11-25|2001-11-26|Music|Brand#5
26|2001-11-26|2001-11-27|Books|Brand#1
27|2001-11-27|2001-11-28|Electronics|Brand#2
28|2001-11-28|2001-11-29|Home|Brand#3
29|2001-11-29|2001-11-30|Sports|Brand#4
30|2001-11-30|2001-12-01|Music|Brand#5
31|2001-12-01|2001-12-02|Books|Brand#1
32|2001-12-02|2001-12-03|Electronics|Brand#2
33|2001-12-03|2001-12-04|Home|Brand#3
34|2001-12-04|2001-12-05|Sports|Brand#4
35|2001-12-05|2001-12-06|Music|Brand#5
36|2001-12-06|2001-12-07|Books|Brand#1
37|2001-12-07|2001-12-08|Electronics|Brand#2
38|2001-12-08|2001-12-09|Home|Brand#3
39|2001-12-09|2001-12-10|Sports|Brand#4
40|2001-12-10|2001-12-11|Music|Brand#5
41|2001-12-11|2001-12-12|Books|Brand#1
42|2001-12-12|2001-12-13|Electronics|Brand#2
43|2001-12-13|2001-12-14|Home|Brand#3
44|2001-12-14|2001-12-15|Sports|Brand#4
45|2001-12-15|2001-12-16|Music|Brand#5
46|2001-12-16|2001-12-17|Books|Brand#1
47|2001-12-17|2001-12-18|Electronics|Brand#2
48|2001-12-18|2001-12-19|Home|Brand#3
49|2001-12-19|2001-12-20|Sports|Brand#4
50|2001-12-20|2001-12-21|Music|Brand#5
1|2001-12-21|2001-12-22|Books|Brand#1
2|2001-12-22|2001-12-23|Electronics|Brand#2
3|2001-12-23|2001-12-24|Home|Brand#3
4|2001-12-24|2001-12-25|Sports|Brand#4
5|2001-12-25|2001-12-26|Music|Brand#5
6|2001-12-26|2001-12-27|Books|Brand#1
7|2001-12-27|2001-12-28|Electronics|Brand#2
8|2001-12-28|2001-12-29|Home|Brand#3
9|2001-12-29|2001-12-30|Sports|Brand#4
10|2001-12-30|2001-12-31|Music|Brand#5
11|2001-12-31|2002-01-01|Books|Brand#1
12|2002-01-01|2002-01-02|Electronics|Brand#2
13|2002-01-02|2002-01-03|Home|Brand#3
14|2002-01-03|2002-01-04|Sports|Brand#4
15|2002-01-04|2002-01-05|Music|Brand#5
16|2002-01-05|2002-01-06|Books|Brand#1
17|2002-01-06|2002-01-07|Electronics|Brand#2
18|2002-01-07|2002-01-08|Home|Brand#3
19|2002-01-08|2002-01-09|Sports|Brand#4
20|2002-01-09|2002-01-10|Music|Brand#5
21|2002-01-10|2002-01-11|Books|Brand#1
22|2002-01-11|2002-01-12|Electronics|Brand#2
23|2002-01-12|2002-01-13|Home|Brand#3
24|2002-01-13|2002-01-14|Sports|Brand#4
25|2002-01-14|2002-01-15|Music|Brand#5
26|2002-01-15|2002-01-16|Books|Brand#1
27|2002-01-16|2002-01-17|Electronics|Brand#2
28|2002-01-17|2002-01-18|Home|Brand#3
29|2002-01-18|2002-01-19|Sports|Brand#4
30|2002-01-19|2002-01-20|Music|Brand#5
31|2002-01-20|2002-01-21|Books|Brand#1
32|2002-01-21|2002-01-22|Electronics|Brand#2
33|2002-01-22|2002-01-23|Home|Brand#3
34|2002-01-23|2002-01-24|Sports|Brand#4
35|2002-01-24|2002-01-25|Music|Brand#5
36|2002-01-25|2002-01-26|Books|Brand#1
37|2002-01-26|2002-01-27|Electronics|Brand#2
38|2002-01-27|2002-01-28|Home|Brand#3
39|2002-01-28|2002-01-29|Sports|Brand#4
40|2002-01-29|2002-01-30|Music|Brand#5
41|2002-01-30|2002-01-31|Books|Brand#1
42|2002-01-31|2002-02-01|Electronics|Brand#2
43|2002-02-01|2002-02-02|Home|Brand#3
44|2002-02-02|2002-02-03|Sports|Brand#4
45|2002-02-03|2002-02-04|Music|Brand#5
46|2002-02-04|2002-02-05|Books|Brand#1
47|2002-02-05|2002-02-06|Electronics|Brand#2
48|2002-02-06|2002-02-07|Home|Brand#3
49|2002-02-07|2002-02-08|Sports|Brand#4
50|2002-02-08|2002-02-09|Music|Brand#5
