2001-10-01|25
2001-10-02|30
2001-10-03|35
2001-10-04|40
2001-10-05|45
2001-10-06|50
2001-10-07|55
2001-10-08|60
2001-10-09|65
2001-10-10|70
2001-10-11|75
2001-10-12|80
2001-10-13|85
2001-10-14|90
2001-10-15|95
2001-10-16|100
2001-10-17|105
2001-10-18|110
2001-10-19|115
2001-10-20|120
2001-10-21|125
2001-10-22|130
2001-10-23|135
2001-10-24|140
2001-10-25|145
2001-10-26|150
2001-10-27|155
2001-10-28|160
2001-10-29|165
2001-10-30|170
2001-10-31|175
2001-11-01|180
2001-11-02|185
2001-11-03|190
2001-11-04|195
2001-11-05|200
2001-11-06|205
2001-11-07|210
2001-11-08|215
2001-11-09|220
2001-11-10|25
2001-11-11|30
2001-11-12|35
2001-11-13|40
2001-11-14|45
2001-11-15|50
2001-11-16|55
2001-11-17|60
2001-11-18|65
2001-11-19|70
2001-11-20|75
2001-11-21|80
2001-11-22|85
2001-11-23|90
2001-11-24|95
2001-11-25|100
2001-11-26|105
2001-11-27|110
2001-11-28|115
2001-11-29|120
2001-11-30|125
2001-12-01|130
2001-12-02|135
2001-12-03|140
2001-12-04|145
2001-12-05|150
2001-12-06|155
2001-12-07|160
2001-12-08|165
2001-12-09|170
2001-12-10|175
2001-12-11|180
2001-12-12|185
2001-12-13|190
2001-12-14|195
2001-12-15|200
2001-12-16|205
2001-12-17|210
2001-12-18|215
2001-12-19|220
2001-12-20|25
2001-12-21|30
2001-12-22|35
2001-12-23|40
2001-12-24|45
2001-12-25|50
2001-12-26|55
2001-12-27|60
2001-12-28|65
2001-12-29|70
2001-12-30|75
2001-12-31|80
2002-01-01|85
2002-01-02|90
2002-01-03|95
2002-01-04|100
2002-01-05|105
2002-01-06|110
2002-01-07|115
2002-01-08|120
