30|2001
31|2002
32|2001
33|2002
34|2001
35|2002
36|2001
37|2002
38|2001
39|2002
40|2001
41|2002
42|2001
43|2002
44|2001
30|2002
31|2001
32|2002
33|2001
34|2002
35|2001
36|2002
37|2001
38|2002
39|2001
40|2002
41|2001
42|2002
43|2001
44|2002
30|2001
31|2002
32|2001
33|2002
34|2001
35|2002
36|2001
37|2002
38|2001
39|2002
40|2001
41|2002
42|2001
43|2002
44|2001
30|2002
31|2001
32|2002
33|2001
34|2002
35|2001
36|2002
37|2001
38|2002
39|2001
40|2002
41|2001
42|2002
43|2001
44|2002
30|2001
31|2002
32|2001
33|2002
34|2001
35|2002
36|2001
37|2002
38|2001
39|2002
40|2001
41|2002
42|2001
43|2002
44|2001
30|2002
31|2001
32|2002
33|2001
34|2002
35|2001
36|2002
37|2001
38|2002
39|2001
40|2002
41|2001
42|2002
43|2001
44|2002
30|2001
31|2002
32|2001
33|2002
34|2001
35|2002
36|2001
37|2002
38|2001
39|2002
