2001|10|5
2002|11|6
2001|12|7
2002|13|8
2001|14|9
2002|15|10
2001|16|11
2002|17|12
2001|18|13
2002|19|14
2001|20|5
2002|21|6
2001|22|7
2002|23|8
2001|24|9
2002|10|10
2001|11|11
2002|12|12
2001|13|13
2002|14|14
2001|15|5
2002|16|6
2001|17|7
2002|18|8
2001|19|9
2002|20|10
2001|21|11
2002|22|12
2001|23|13
2002|24|14
2001|10|5
2002|11|6
2001|12|7
2002|13|8
2001|14|9
2002|15|10
2001|16|11
2002|17|12
2001|18|13
2002|19|14
2001|20|5
2002|21|6
2001|22|7
2002|23|8
2001|24|9
2002|10|10
2001|11|11
2002|12|12
2001|13|13
2002|14|14
2001|15|5
2002|16|6
2001|17|7
2002|18|8
2001|19|9
2002|20|10
2001|21|11
2002|22|12
2001|23|13
2002|24|14
2001|10|5
2002|11|6
2001|12|7
2002|13|8
2001|14|9
2002|15|10
2001|16|11
2002|17|12
2001|18|13
2002|19|14
2001|20|5
2002|21|6
2001|22|7
2002|23|8
2001|24|9
2002|10|10
2001|11|11
2002|12|12
2001|13|13
2002|14|14
2001|15|5
2002|16|6
2001|17|7
2002|18|8
2001|19|9
2002|20|10
2001|21|11
2002|22|12
2001|23|13
2002|24|14
2001|10|5
2002|11|6
2001|12|7
2002|13|8
2001|14|9
2002|15|10
2001|16|11
2002|17|12
2001|18|13
2002|19|14
